con_C_rep1	con_C_rep2	con_C_rep3	con_E_rep1	con_E_rep2	con_E_rep3	con_S_rep1	con_S_rep2	con_S_rep3
YGL232W	0.274471814353097	0.423489743034284	0.345001853664979	-0.201464871841802	-0.353968884712407	-0.587285109215077	-0.0409747691425713	0.104297807838571	0.0364324160209231
YDR311W	0.162387816704473	0.163061548679849	-0.0462580956532967	-0.193844592341314	-0.225564261392813	0.199625026325673	-0.179571386925936	0.0878847748325375	0.0322791697708302
YOR142W	-1.04977886129906	-1.10850136744909	-1.11498376932357	0.538506325621505	0.683482339195235	0.475717950581059	0.551568639332391	0.45816419353369	0.565824549807854
YDL135C	-0.193894410952957	-0.257570585444047	-0.274715192840941	-0.0470908106216861	0.0666527845685669	0.125601640590006	0.151128038725171	0.0731422804294608	0.356746255546427
YBR048W	1.2703977271263	1.26478895247915	1.33834086850386	-1.39789954769145	-1.33785961392001	-1.53357531268544	0.151764909347069	0.174364136900395	0.0696778799401194
YMR104C	-1.49533318669494	-1.35891106375153	-1.48681948141586	0.571640385988285	0.424351182998773	0.535401521124859	1.03945139018443	0.833490728063456	0.936728523502525
YDR499W	-0.201978946347306	-0.0697126802298929	-0.133657496385676	-0.0503847417219596	-0.100185764605054	-0.246101150149451	0.31976509194749	0.220137490512974	0.262118196978873
YDL177C	0.0927159744324246	0.0673719427952815	0.0426471402514057	0.0639183414399174	0.0648756122930916	0.0637345530561753	-0.219864946794443	-0.250961121123118	0.0755625036492615
YOR298C-A	0.0490794627194653	-0.171097221844617	-0.0345054675351459	0.0554050584014121	0.0734773437286176	0.239749566535592	-0.0791491791363566	-0.177416259156445	0.0444566962874777
YOL131W	-0.961092520255215	-0.963144395735275	-1.54877882928864	1.06884628432716	1.13437568937732	1.06868816508775	0.359131671319118	0.0744977704480707	-0.232523835280299
YGR216C	0.39200157512384	0.335317736994073	0.306625992390763	-0.337593767591669	-0.51209964051319	-0.266033398702498	-0.0110420482243239	-0.10190588348226	0.194729434005264
YHR074W	-0.273364429931211	-0.172553349016616	-0.160095013245429	0.0838751296500879	0.22801962326116	0.17337997311872	-0.00824801777941175	0.0928402109987712	0.0361458729439263
YHR199C-A	-0.00783517566673186	-0.400352134455571	-0.59456495932499	0.561517645152129	0.832577218307426	0.0193598301011693	0.0348722662278402	-0.422190079809007	-0.0233846105322653
YJL019W	-0.157959898345177	-0.388914905010747	-0.332542576992	0.874227997130682	0.846703678464275	0.784515726095494	-0.55755883176453	-0.473098752950633	-0.595372436627363
YJL070C	-0.622025062887226	-0.481777127883906	-0.692876446723415	0.194001522537563	0.0983735698065678	0.256382147825121	0.294872999121138	0.297633700222799	0.655414697981356
YMR276W	-0.173277465141169	-0.230481149878512	-0.163473007189465	0.281388667526567	0.250351458123207	0.311673237602021	-0.0931409579042004	-0.166581160124951	-0.0164596230134997
YBR180W	-0.0797681874916059	0.0915208937031973	-0.23558881126275	-0.115751579380867	0.727327205840196	-0.253777210833993	-0.0245415260613324	0.0505307290657999	-0.159951513578643
YDR194C	0.475124884314749	0.295531111942703	0.287174091333537	-0.018142680297732	0.0451143148175301	-0.161652548217328	-0.253524281129012	-0.262111123874043	-0.407513768890407
YGL193C	-0.519780019234728	-0.731597065051769	-0.575617221834324	0.282472121114261	0.676267266381263	0.556893457658146	0.152495421209842	0.0776877910735765	0.0811782486837322
YMR077C	0.122849541601558	-0.110581801094242	-0.222800987106008	0.147688065688894	-0.261182079817728	0.0915458415224251	0.17632120348769	0.0119589365115154	0.044201279205895
