clusters	colors
YOR192C-A	8	#0D00FF
YDR449C	2	#00FFA2
YFR015C	1	#00FF66
YOR394W	8	#0D00FF
YML073C	2	#00FFA2
YJR094W-A	2	#00FFA2
YIR016W	8	#0D00FF
YKL156W	2	#00FFA2
YDR025W	3	#00FFDE
YIL057C	12	#FD00FF
YLR452C	2	#00FFA2
YDR534C	1	#00FF66
YPL090C	3	#00FFDE
YHR214C-E	7	#002FFF
YJL106W	1	#00FF66
YKR092C	2	#00FFA2
YBL087C	2	#00FFA2
YPL109C	1	#00FF66
YGR090W	2	#00FFA2
YLR149C	4	#00E4FF
YOL077C	2	#00FFA2
YPL226W	2	#00FFA2
YDL204W	4	#00E4FF
YDL081C	2	#00FFA2
YOL152W	1	#00FF66
YLR460C	2	#00FFA2
YDR064W	3	#00FFDE
YPL272C	5	#00A8FF
YDL194W	1	#00FF66
YPR113W	2	#00FFA2
YBR084W	2	#00FFA2
YMR018W	8	#0D00FF
YOL041C	2	#00FFA2
YPR132W	2	#00FFA2
YBR222C	1	#00FF66
YOR063W	2	#00FFA2
YOL080C	2	#00FFA2
YER074W	2	#00FFA2
YDL136W	2	#00FFA2
YHR138C	1	#00FF66
YKL109W	1	#00FF66
YLR075W	3	#00FFDE
YDR039C	8	#0D00FF
YMR142C	2	#00FFA2
YDR262W	1	#00FF66
YHR196W	2	#00FFA2
YML128C	4	#00E4FF
YAL005C	1	#00FF66
YJL026W	14	#FF0089
YPL281C	1	#00FF66
YHL028W	2	#00FFA2
YGL208W	1	#00FF66
YOR180C	8	#0D00FF
YIL160C	4	#00E4FF
YCR010C	6	#006BFF
YMR322C	4	#00E4FF
YJL037W	8	#0D00FF
YDR342C	5	#00A8FF
YOL158C	11	#C100FF
YOR153W	3	#00FFDE
YPL282C	8	#0D00FF
YAR009C	3	#00FFDE
YLR331C	2	#00FFA2
YFL011W	14	#FF0089
YGR292W	4	#00E4FF
YMR181C	1	#00FF66
YLR012C	7	#002FFF
YOL097C	2	#00FFA2
YOR084W	1	#00FF66
YLR258W	1	#00FF66
YER150W	1	#00FF66
YLR129W	2	#00FFA2
YPR014C	1	#00FF66
YPL113C	8	#0D00FF
YIL045W	1	#00FF66
YKR097W	9	#4900FF
YDR218C	8	#0D00FF
YDR010C	4	#00E4FF
YDL244W	1	#00FF66
YNL037C	1	#00FF66
YGL120C	2	#00FFA2
YPR127W	1	#00FF66
YKR091W	8	#0D00FF
YGL135W	2	#00FFA2
YPR001W	4	#00E4FF
YFR023W	8	#0D00FF
YLL039C	1	#00FF66
YIL117C	14	#FF0089
YPL271W	1	#00FF66
